City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,zaraza,79,VE,1555802627,66,9.35,-65.33,82.0,10.94
88,ukiah,1,US,1555802628,48,39.15,-123.21,66.0,19.46
89,klaksvik,46,FO,1555800600,75,62.23,-6.59,44.6,11.41
90,moose factory,90,CA,1555801200,39,51.26,-80.61,50.0,3.36
91,hanchuan,90,CN,1555797600,93,30.65,113.83,62.6,8.95
92,provideniya,86,RU,1555802319,60,64.42,-173.23,10.79,3.74
93,pisco,0,PE,1555802187,30,-13.71,-76.2,73.0,6.93
94,lompoc,90,US,1555802216,82,34.64,-120.46,66.0,17.22
95,butaritari,68,KI,1555802302,76,3.07,172.79,83.62,12.59
96,christchurch,100,NZ,1555802403,93,-43.53,172.64,57.99,13.87
97,hithadhoo,100,MV,1555802302,79,-0.6,73.08,84.79,15.28
98,hobart,75,AU,1555801994,82,-42.88,147.33,63.0,5.82
99,cabusao,27,PH,1555802661,65,13.73,123.11,84.75,2.71
100,nanortalik,64,GL,1555802340,95,60.14,-45.24,30.7,10.54
101,uglovskoye,73,RU,1555802661,76,51.36,80.19,30.5,6.55
102,los banos,1,US,1555802635,49,37.06,-120.85,77.0,11.41
103,carnarvon,99,ZA,1555802313,40,-30.97,22.13,55.03,14.43
104,arraial do cabo,0,BR,1555802308,83,-22.97,-42.02,75.21,4.32
105,filingue,0,NE,1555802661,6,14.35,3.32,89.84,11.21
106,sandwick,100,GB,1555802508,49,54.57,-2.89,57.0,4.56
107,severo-kurilsk,26,RU,1555802311,81,50.68,156.12,35.45,15.79
108,sauda,93,NO,1555802525,54,59.65,6.35,48.0,5.75
109,gimli,97,CA,1555802406,46,50.63,-96.99,61.0,7.0
110,bethel,90,US,1555800300,68,60.79,-161.76,30.2,8.05
111,comodoro rivadavia,0,AR,1555797600,59,-45.87,-67.48,62.6,5.19
112,chokurdakh,1,RU,1555802305,85,70.62,147.9,12.43,7.99
113,bitung,20,ID,1555801200,100,1.44,125.19,78.8,3.36
114,nikolskoye,0,RU,1555802173,90,59.7,30.79,35.01,2.86
115,tessalit,0,ML,1555802346,9,20.2,1.01,89.21,7.58
116,carballo,0,ES,1555802486,87,43.21,-8.69,60.01,2.24
117,port elizabeth,1,US,1555802324,82,39.31,-74.98,69.8,10.89
118,kaohsiung,75,TW,1555802121,83,22.62,120.31,81.0,2.24
119,jamestown,72,AU,1555802307,63,-33.21,138.6,62.56,9.6
120,hearst,100,CA,1555802662,85,49.69,-83.67,41.33,5.37
121,tabou,81,CI,1555802350,88,4.42,-7.36,77.6,2.15
122,udachnyy,90,RU,1555797600,92,66.42,112.4,17.6,3.18
123,danville,90,US,1555802526,76,36.59,-79.4,53.6,5.82
124,pangnirtung,90,CA,1555802317,99,66.15,-65.72,-0.27,2.04
125,katsuura,75,JP,1555801687,82,33.93,134.5,63.0,3.36
126,zboriste,0,BA,1555802403,81,45.15,16.02,43.0,1.12
127,cidreira,53,BR,1555802310,80,-30.17,-50.22,71.18,6.58
128,marsala,0,IT,1555802523,82,37.8,12.44,66.0,3.36
129,huejuquilla el alto,1,MX,1555802663,17,22.63,-103.9,84.35,13.78
130,kahului,75,US,1555801833,69,20.89,-156.47,79.0,17.22
131,nizhniy kuranakh,100,RU,1555802664,77,58.84,125.49,25.93,7.74
132,fortuna,75,ES,1555802288,77,38.18,-1.13,59.0,6.93
